cv_metric_AUC	AUC
0.929833333333333	1
0.956166666666667	1
0.9035	1
0.899166666666667	1
0.94175	1
0.9175	1
0.952166666666667	1
0.9525	1
0.919833333333333	1
0.90575	1
0.904333333333333	1
0.941	1
0.92175	1
0.923833333333333	1
0.957583333333333	1
0.9175	1
0.941666666666667	1
0.909	1
0.904916666666667	1
0.909333333333333	1
0.91575	1
0.965666666666667	0.5
0.906666666666667	1
0.935333333333333	1
0.936666666666667	0.5
0.936333333333333	1
0.95	1
0.9265	1
0.915	1
0.927916666666667	1
0.91025	1
0.930333333333333	0.5
0.949583333333333	1
0.891166666666667	1
0.930666666666667	1
0.905583333333333	1
0.922583333333333	1
0.9155	1
0.905916666666667	1
0.9105	1
0.915166666666667	1
0.95925	0
0.933083333333333	1
0.916916666666667	1
0.954833333333333	0.5
0.946	1
0.92225	1
0.913	1
0.913666666666667	1
0.909833333333333	1
0.916083333333333	1
0.9045	1
0.927166666666667	1
0.921833333333333	1
0.954333333333333	0
0.894666666666667	1
0.907833333333333	1
0.8965	1
0.959	1
0.902166666666667	1
0.902333333333333	1
0.910333333333333	1
0.907166666666667	1
0.911666666666667	1
0.959833333333333	1
0.90975	1
0.946416666666667	1
0.913833333333333	1
0.95025	1
0.9575	1
0.9455	1
0.914166666666667	1
0.956	1
0.927	1
0.9095	1
0.933166666666667	1
0.925333333333333	1
0.916916666666667	1
0.934333333333333	1
0.938166666666667	1
0.926666666666667	1
0.955416666666667	1
0.929	1
0.915	1
0.915916666666667	1
0.938583333333333	1
0.94375	1
0.954833333333333	1
0.92125	1
0.961833333333333	1
0.9215	1
0.940666666666667	1
0.906833333333333	1
0.928833333333333	1
0.909833333333333	1
0.945666666666667	1
0.914166666666667	1
0.922666666666667	1
0.944416666666667	0.5
0.945	1
